Estudio de viabilidad económica del proyecto por firma competente con mercado que será implementado ,Privado,,
Evidencia de existencia de persona jurídica,Privado,,
Evidencia de radicación de solicitud en el Departamento de Hacienda,Privado,,
Evidencia de Seguro Social,Privado,,
Facilidades para personas con impedimentos físicos,Privado,,
Fecha estimada del comienzo de la Actividad Turística,Privado,,
Gravamen sobre el vehículo ,Privado,,
Identificación Oficial con Foto (tener de 21-29 años),Privado,,
Información sobre el dueño y operador del hospedaje y el casino si lo tiene,Privado,,
Informe de Cantidad ($) y prociento del total de ventas de piso y recetario,Privado,,
Informe de Recetas el cual debe incluir resumen de despacho de recetas en $ y la cantidad de recetas desglosadas por productos de marcas y productos genéricos.,Privado,,
Licencia de ASSMCA (Administración de Servicios de Salud y Contra la Adicción).,Privado,,
Licencia de Bebidas Alcohólicas,Privado,,
"Licencia del ""Drug Enforcement Administration"" (DEA).",Privado,,
Licencia del Departamento de Salud Ambiental.,Privado,,
Licencia del Departamento de Salud.,Privado,,
Licencia Sanitaria,Privado,,
Medallón y cualquier otra colateral o garantía aceptable al BDEPR.,Privado,,
Medidas de seguridad para la clientela,Privado,,
Oportunidad identificada para exportar su producto ,Privado,,
Participante del Programa de Microempresas de OAJ,Privado,,
Plan de adiestramiento y readiestramiento del personal,Privado,,
Plan de conservación mejoras y mantenimiento de la estructura física ambiental y estética,Privado,,
Planos arquitectónicos preparados por un arquitecto o ingeniero licenciado,Privado,,
Porción del costo total a financiar (fuentes y uso de fondos),Privado,,
Proyecciones de ingresos por los próximos tres años.,Privado,,
Que los fondos asignados no hayan sido desembolsados y que el atraso en el desembolso no sea por causas atribuibles a la ONG,Privado,,
Ser una organización bonafide con todos los requisitos legales requeridos,Privado,,
Si la empresa vende productos agrícolas locales  deberá proveer evidencia que provienen de núcleos de producción agrícola certificados por el Departamento de Agricultura,Privado,,
Si la empresa vende productos manufacturados deberá someter la Certificación de Fomento Industrial (Evidencia que el producto es manufacturado en Puerto Rico),Privado,,
Solicitud de la agencia,Privado,,
Tener negocio propio (DBA Corporación o Sociedad),Privado,,
Título de propiedad del terreno donde se va a desarrollar el proyecto incluyendo tasación,Privado,,
